code_insee;nom_com;code_dep;code_reg;nbr;type;nbr_elig_8;elig_ftth;elig_coax;elig_cu_30;elig_thdr;elig_cu_8;elig_4gf;elig_hdr;elig_sat;date
89147;Dracy;89;27;239;all;239;231;0;0;0;0;5;0;3;2026-06-30
14478;Orbec;14;28;1676;all;1676;1642;0;21;0;6;7;0;0;2026-06-30
2A363;Zoza;2A;94;96;all;96;92;0;0;0;0;4;0;0;2026-06-30
19275;Ussel;19;75;7338;all;7338;7128;0;0;0;0;210;0;0;2026-06-30
17446;Thors;17;75;317;all;317;314;0;0;0;0;3;0;0;2026-06-30
25416;Myon;25;27;171;all;171;151;0;0;0;0;20;0;0;2026-06-30
49135;Feneu;49;52;1223;all;1223;1175;0;0;0;47;1;0;0;2026-06-30
