identifiant_insee,nom,type_entite,indicateur_id,type_ind,horizon,label,ref,low,median,high
54395,Nancy,commune,S4,annuel,2100,,6,0,1,3
54395,Nancy,commune,AG1,saisonnier,2030,hiver,13,11,13,16
54395,Nancy,commune,AG1,saisonnier,2030,printemps,13,11,12,15
54395,Nancy,commune,AG1,saisonnier,2030,été,12,10,13,18
54395,Nancy,commune,AG1,saisonnier,2030,automne,14,13,14,17
54395,Nancy,commune,AG1,saisonnier,2050,hiver,13,10,12,15
54395,Nancy,commune,AG1,saisonnier,2050,printemps,13,11,13,15
54395,Nancy,commune,AG1,saisonnier,2050,été,12,11,14,19
54395,Nancy,commune,AG1,saisonnier,2050,automne,14,12,16,18
54395,Nancy,commune,AG1,saisonnier,2100,hiver,13,10,13,17
54395,Nancy,commune,AG1,saisonnier,2100,printemps,13,11,13,16
54395,Nancy,commune,AG1,saisonnier,2100,été,12,12,15,23
54395,Nancy,commune,AG1,saisonnier,2100,automne,14,13,15,19
54395,Nancy,commune,AG2,annuel,2030,,06/03,20/02,23/02,01/03
54395,Nancy,commune,AG2,annuel,2050,,06/03,14/02,18/02,22/02
54395,Nancy,commune,AG2,annuel,2100,,06/03,08/02,12/02,17/02
54395,Nancy,commune,AG3,annuel,2030,,2749,3026,3117,3180
54395,Nancy,commune,AG3,annuel,2050,,2749,3239,3302,3429
54395,Nancy,commune,AG3,annuel,2100,,2749,3564,3663,3741
54395,Nancy,commune,AG4,annuel,2030,,9,9,14,16
54395,Nancy,commune,AG4,annuel,2050,,9,14,17,20
54395,Nancy,commune,AG4,annuel,2100,,9,17,21,28
54395,Nancy,commune,T1,annuel,2030,,36,43,49,57
54395,Nancy,commune,T1,annuel,2050,,36,56,60,68
54395,Nancy,commune,T1,annuel,2100,,36,69,79,93
