immeuble_id;num_lot_fz;fermeture_technique;fermeture_com_zone;fermeture_com_addr;elig_fo;annee_ft
13233343;;0;0;0;0;
13233365;;0;0;0;0;
13233451;;0;0;0;0;
13233457;;0;0;0;0;
13233463;;0;0;0;0;
13233464;;0;0;0;0;
13233471;;0;0;0;0;
13233474;;0;0;0;0;
13233478;;0;0;0;0;
13233479;;0;0;0;0;
13275873;;0;0;0;0;
13275880;;0;0;0;0;
13332816;;0;0;0;0;
13340116;;0;0;0;0;
13370304;;0;0;0;0;
13370310;41;0;0;0;0;
13371159;;0;0;0;0;
13362144;41;0;0;0;0;
13385338;;0;0;0;0;
13385339;;0;0;0;0;
13385341;;0;0;0;0;
13385350;;0;0;0;0;
13385400;;0;0;0;0;
13385403;;0;0;0;0;
13412178;;0;0;0;0;
13412179;;0;0;0;0;
13412209;;0;0;0;0;
13412299;;0;0;0;0;
13412300;41;0;0;0;0;
